Map "Bosch II 16" (16x16)

-(-,-)/-

		-															
		0	100	200	350	500	750	1000	1250	1500	1750	2000	2250	2500	2750	3000	3500
-	250	0	200	412	753	1095	1691	2286	2882	3478	4073	4669	5264	5860	6456	7024	8190
	500	0	186	398	689	1029	1570	2160	2742	3321	3911	4497	5113	5748	6289	6813	7950
	750	0	443	574	826	1070	1485	2011	2546	3132	3692	4244	4849	5456	6020	6457	7540
	1000	0	255	463	761	1015	1436	1837	2397	2934	3478	4033	4612	5201	5570	6180	7180
	1250	0	237	391	651	940	1327	1762	2369	2823	3309	3846	4389	4957	5381	5880	6830
	1500	0	170	299	580	736	1133	1660	2108	2568	3049	3569	4123	4665	5180	5580	6550
	1750	0	196	390	574	813	1143	1600	1969	2397	2916	3431	3897	4368	4900	5474	6450
	2000	0	202	324	550	780	1210	1574	2000	2430	2894	3359	3724	4164	4848	5500	6480
	2250	0	206	390	626	895	1250	1563	1984	2479	2949	3303	3787	4258	4850	5580	6600
	2500	0	210	490	742	1009	1336	1784	2206	2640	3045	3408	3798	4248	4897	5682	6740
	2750	0	215	350	549	873	1351	1593	2014	2441	2878	3320	3783	4253	5000	5815	6900
	3000	0	220	455	716	1042	1357	1745	2145	2663	3069	3427	3846	4336	5115	5935	7070
	3500	0	226	417	630	841	1230	1803	2217	2641	3134	3506	3995	4477	5400	6189	7420
	4000	0	230	489	738	1013	1418	1743	2232	2707	3182	3650	4136	4630	5572	6369	7630
	4500	0	233	434	742	932	1365	1886	2538	2890	3292	3782	4281	4801	5646	6457	7740
	5000	0	235	437	738	988	1472	1780	2264	2803	3319	3812	4301	4861	5636	6468	7759
